dateTime,pointDisplayName,point_id,unit,dateTimeUtc,pointName,pointKind,deviceName,value,pointField
03/31/2026 09:06:15,Illuminance,679cf5ad47ab52551ce70600,lx,03/31/2026 14:06:15,Light,Number,10B342_Rm_354,405.5,illuminance_sensor
03/31/2026 09:06:45,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 14:06:45,TVOC,Number,10B342_Rm_354,176,voc_concentration_detection_sensor
03/31/2026 09:06:45,Illuminance,679cf5ad47ab52551ce70600,lx,03/31/2026 14:06:45,Light,Number,10B342_Rm_354,403,illuminance_sensor
03/31/2026 09:06:45,Noise Level,679cf5ad47ab52551ce70601,dB,03/31/2026 14:06:45,Noise,Number,10B342_Rm_354,51.599998474121094,noise_sensor
03/31/2026 09:07:15,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 14:07:15,TVOC,Number,10B342_Rm_354,179,voc_concentration_detection_sensor
03/31/2026 09:07:15,Illuminance,679cf5ad47ab52551ce70600,lx,03/31/2026 14:07:15,Light,Number,10B342_Rm_354,404.79998779296875,illuminance_sensor
03/31/2026 09:07:45,CO2,679cf5ad47ab52551ce705fd,ppm,03/31/2026 14:07:45,Carbon Dioxide,Number,10B342_Rm_354,486,co2_concentration_detection_sensor
03/31/2026 09:07:45,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 14:07:45,TVOC,Number,10B342_Rm_354,183,voc_concentration_detection_sensor
03/31/2026 09:08:15,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 14:08:15,TVOC,Number,10B342_Rm_354,176,voc_concentration_detection_sensor
03/31/2026 09:08:45,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 14:08:45,TVOC,Number,10B342_Rm_354,180,voc_concentration_detection_sensor
03/31/2026 09:08:45,Noise Level,679cf5ad47ab52551ce70601,dB,03/31/2026 14:08:45,Noise,Number,10B342_Rm_354,50.900001525878906,noise_sensor
03/31/2026 09:09:15,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 14:09:15,TVOC,Number,10B342_Rm_354,173,voc_concentration_detection_sensor
03/31/2026 09:09:15,Illuminance,679cf5ad47ab52551ce70600,lx,03/31/2026 14:09:15,Light,Number,10B342_Rm_354,406.1000061035156,illuminance_sensor
03/31/2026 09:09:45,CO2,679cf5ad47ab52551ce705fd,ppm,03/31/2026 14:09:45,Carbon Dioxide,Number,10B342_Rm_354,488,co2_concentration_detection_sensor
03/31/2026 09:09:45,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 14:09:45,TVOC,Number,10B342_Rm_354,174,voc_concentration_detection_sensor
03/31/2026 09:09:45,Illuminance,679cf5ad47ab52551ce70600,lx,03/31/2026 14:09:45,Light,Number,10B342_Rm_354,406,illuminance_sensor
03/31/2026 09:09:45,Noise Level,679cf5ad47ab52551ce70601,dB,03/31/2026 14:09:45,Noise,Number,10B342_Rm_354,51.79999923706055,noise_sensor
03/31/2026 09:09:45,Zone Temp,679cf5ad47ab52551ce70603,°F,03/31/2026 14:09:45,Temperature Fahrenheit,Number,10B342_Rm_354,69.99800109863281,zone_air_temperature_sensor
03/31/2026 09:10:45,CO2,679cf5ad47ab52551ce705fd,ppm,03/31/2026 14:10:45,Carbon Dioxide,Number,10B342_Rm_354,490,co2_concentration_detection_sensor
03/31/2026 09:10:45,Illuminance,679cf5ad47ab52551ce70600,lx,03/31/2026 14:10:45,Light,Number,10B342_Rm_354,404.5,illuminance_sensor
03/31/2026 09:11:15,CO2,679cf5ad47ab52551ce705fd,ppm,03/31/2026 14:11:15,Carbon Dioxide,Number,10B342_Rm_354,488,co2_concentration_detection_sensor
03/31/2026 09:11:15,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 14:11:15,TVOC,Number,10B342_Rm_354,181,voc_concentration_detection_sensor
03/31/2026 09:11:15,Illuminance,679cf5ad47ab52551ce70600,lx,03/31/2026 14:11:15,Light,Number,10B342_Rm_354,407.29998779296875,illuminance_sensor
03/31/2026 09:11:45,CO2,679cf5ad47ab52551ce705fd,ppm,03/31/2026 14:11:45,Carbon Dioxide,Number,10B342_Rm_354,489,co2_concentration_detection_sensor
03/31/2026 09:11:45,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 14:11:45,TVOC,Number,10B342_Rm_354,174,voc_concentration_detection_sensor
03/31/2026 09:11:45,Illuminance,679cf5ad47ab52551ce70600,lx,03/31/2026 14:11:45,Light,Number,10B342_Rm_354,404.1000061035156,illuminance_sensor
03/31/2026 09:12:45,CO2,679cf5ad47ab52551ce705fd,ppm,03/31/2026 14:12:45,Carbon Dioxide,Number,10B342_Rm_354,494,co2_concentration_detection_sensor
03/31/2026 09:12:45,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 14:12:45,TVOC,Number,10B342_Rm_354,173,voc_concentration_detection_sensor
03/31/2026 09:13:15,CO2,679cf5ad47ab52551ce705fd,ppm,03/31/2026 14:13:15,Carbon Dioxide,Number,10B342_Rm_354,496,co2_concentration_detection_sensor
03/31/2026 09:13:15,Illuminance,679cf5ad47ab52551ce70600,lx,03/31/2026 14:13:15,Light,Number,10B342_Rm_354,392.29998779296875,illuminance_sensor
03/31/2026 09:13:45,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 14:13:45,TVOC,Number,10B342_Rm_354,183,voc_concentration_detection_sensor
03/31/2026 09:14:15,CO2,679cf5ad47ab52551ce705fd,ppm,03/31/2026 14:14:15,Carbon Dioxide,Number,10B342_Rm_354,497,co2_concentration_detection_sensor
03/31/2026 09:14:15,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 14:14:15,TVOC,Number,10B342_Rm_354,181,voc_concentration_detection_sensor
03/31/2026 09:15:15,CO2,679cf5ad47ab52551ce705fd,ppm,03/31/2026 14:15:15,Carbon Dioxide,Number,10B342_Rm_354,498,co2_concentration_detection_sensor
03/31/2026 09:15:15,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 14:15:15,TVOC,Number,10B342_Rm_354,180,voc_concentration_detection_sensor
03/31/2026 09:15:15,Illuminance,679cf5ad47ab52551ce70600,lx,03/31/2026 14:15:15,Light,Number,10B342_Rm_354,395.5,illuminance_sensor
03/31/2026 09:15:45,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 14:15:45,TVOC,Number,10B342_Rm_354,186,voc_concentration_detection_sensor
03/31/2026 09:15:45,Illuminance,679cf5ad47ab52551ce70600,lx,03/31/2026 14:15:45,Light,Number,10B342_Rm_354,392.79998779296875,illuminance_sensor
03/31/2026 09:16:15,CO2,679cf5ad47ab52551ce705fd,ppm,03/31/2026 14:16:15,Carbon Dioxide,Number,10B342_Rm_354,497,co2_concentration_detection_sensor
03/31/2026 09:16:15,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 14:16:15,TVOC,Number,10B342_Rm_354,184,voc_concentration_detection_sensor
03/31/2026 09:16:45,CO2,679cf5ad47ab52551ce705fd,ppm,03/31/2026 14:16:45,Carbon Dioxide,Number,10B342_Rm_354,499,co2_concentration_detection_sensor
03/31/2026 09:16:45,Noise Level,679cf5ad47ab52551ce70601,dB,03/31/2026 14:16:45,Noise,Number,10B342_Rm_354,53.900001525878906,noise_sensor
03/31/2026 09:17:15,CO2,679cf5ad47ab52551ce705fd,ppm,03/31/2026 14:17:15,Carbon Dioxide,Number,10B342_Rm_354,500,co2_concentration_detection_sensor
03/31/2026 09:17:15,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 14:17:15,TVOC,Number,10B342_Rm_354,181,voc_concentration_detection_sensor
03/31/2026 09:17:15,Illuminance,679cf5ad47ab52551ce70600,lx,03/31/2026 14:17:15,Light,Number,10B342_Rm_354,394.20001220703125,illuminance_sensor
03/31/2026 09:17:15,Noise Level,679cf5ad47ab52551ce70601,dB,03/31/2026 14:17:15,Noise,Number,10B342_Rm_354,53.29999923706055,noise_sensor
03/31/2026 09:17:45,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 14:17:45,TVOC,Number,10B342_Rm_354,182,voc_concentration_detection_sensor
03/31/2026 09:17:45,Illuminance,679cf5ad47ab52551ce70600,lx,03/31/2026 14:17:45,Light,Number,10B342_Rm_354,392.29998779296875,illuminance_sensor
03/31/2026 09:18:15,CO2,679cf5ad47ab52551ce705fd,ppm,03/31/2026 14:18:15,Carbon Dioxide,Number,10B342_Rm_354,501,co2_concentration_detection_sensor
03/31/2026 09:18:15,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 14:18:15,TVOC,Number,10B342_Rm_354,190,voc_concentration_detection_sensor
03/31/2026 09:18:45,CO2,679cf5ad47ab52551ce705fd,ppm,03/31/2026 14:18:45,Carbon Dioxide,Number,10B342_Rm_354,500,co2_concentration_detection_sensor
