device_id,device_name,time,Discharge Fan Status_status,Discharge Fan Status_value,Discharge Air Temp_status,Discharge Air Temp_value,Discharge Damper Percent Cmd_status,Discharge Damper Percent Cmd_value,Discharge Fan Cmd_status,Discharge Fan Cmd_value,Discharge Air Flow_status,Discharge Air Flow_value,Discharge Air Flow Setpt_status,Discharge Air Flow Setpt_value,Discharge Damper Percent_status,Discharge Damper Percent_value,Eff Occupancy_status,Eff Occupancy_value,Zone CO2_status,Zone CO2_value,Zone CO2 Setpt_status,Zone CO2 Setpt_value,Zone Temp Setpt_status,Zone Temp Setpt_value,Occ Cooling Temp Setpt_status,Occ Cooling Temp Setpt_value,Occ Heating Temp Setpt_status,Occ Heating Temp Setpt_value,Zone Temp_status,Zone Temp_value
673ce923ffc77731fa3ed001,FPB-01-019_361,2026/02/17 00:35:36,,,,,,,,,ok,1122.5389404296875,,,,,,,,,,,,,,,,,,
673ce923ffc77731fa3ed001,FPB-01-019_361,2026/02/17 00:36:06,,,,,,,,,ok,1108.2720947265625,,,,,,,,,,,,,,,,,,
673ce923ffc77731fa3ed001,FPB-01-019_361,2026/02/17 00:36:36,,,,,,,,,ok,1116.0877685546875,,,,,,,,,,,,,,,,,,
673ce923ffc77731fa3ed001,FPB-01-019_361,2026/02/17 00:37:07,,,ok,64.65199890136712,,,,,,,,,,,,,ok,430.0,,,,,,,,,,
673ce923ffc77731fa3ed001,FPB-01-019_361,2026/02/17 00:38:37,,,,,,,,,ok,1126.7264404296875,,,,,,,ok,432.0,,,,,,,,,,
673ce923ffc77731fa3ed001,FPB-01-019_361,2026/02/17 00:41:37,,,ok,63.96800041198724,,,,,ok,1116.7215576171875,,,,,,,,,,,,,,,,,,
673ce923ffc77731fa3ed001,FPB-01-019_361,2026/02/17 00:42:07,,,,,,,,,,,,,,,,,ok,431.0,,,,,,,,,,
673ce923ffc77731fa3ed001,FPB-01-019_361,2026/02/17 00:42:37,,,,,,,,,ok,1109.2740478515625,,,,,,,,,,,,,,,,,,
673ce923ffc77731fa3ed001,FPB-01-019_361,2026/02/17 00:43:07,,,,,,,,,ok,1123.29443359375,,,,,,,,,,,,,,,,,,
673ce923ffc77731fa3ed001,FPB-01-019_361,2026/02/17 00:44:37,,,,,,,,,ok,1129.808349609375,,,,,,,ok,430.0,,,,,,,,,,
673ce923ffc77731fa3ed001,FPB-01-019_361,2026/02/17 00:45:07,,,,,,,,,ok,1120.2991943359375,,,,,,,,,,,,,,,,,,
673ce923ffc77731fa3ed001,FPB-01-019_361,2026/02/17 00:45:37,,,,,,,,,ok,1130.7535400390625,,,,,,,,,,,,,,,,,,
673ce923ffc77731fa3ed001,FPB-01-019_361,2026/02/17 00:46:07,,,,,,,,,ok,1115.7056884765625,,,,,,,ok,429.0,,,,,,,,,,
673ce923ffc77731fa3ed001,FPB-01-019_361,2026/02/17 00:46:37,,,,,,,,,ok,1121.1563720703125,,,,,,,,,,,,,,,,,,
673ce923ffc77731fa3ed001,FPB-01-019_361,2026/02/17 00:47:07,,,,,,,,,,,,,,,,,ok,430.0,,,,,,,,,,
673ce923ffc77731fa3ed001,FPB-01-019_361,2026/02/17 00:47:37,,,,,,,,,ok,1115.9830322265625,,,,,,,,,,,,,,,,,,
673ce923ffc77731fa3ed001,FPB-01-019_361,2026/02/17 00:48:07,,,,,,,,,ok,1129.6881103515625,,,,,,,ok,431.0,,,,,,,,,,
673ce923ffc77731fa3ed001,FPB-01-019_361,2026/02/17 00:48:37,,,,,,,,,ok,1124.562255859375,,,,,,,ok,430.0,,,,,,,,,,
673ce923ffc77731fa3ed001,FPB-01-019_361,2026/02/17 00:49:37,,,,,,,,,,,,,,,,,ok,431.0,,,,,,,,,,
673ce923ffc77731fa3ed001,FPB-01-019_361,2026/02/17 00:50:07,,,,,,,,,ok,1116.646240234375,,,,,,,ok,430.0,,,,,,,,,,
673ce923ffc77731fa3ed001,FPB-01-019_361,2026/02/17 00:50:37,,,,,,,,,,,,,,,,,ok,429.0,,,,,,,,,,
673ce923ffc77731fa3ed001,FPB-01-019_361,2026/02/17 00:51:37,,,ok,63.44599876403802,,,,,,,,,,,,,,,,,,,,,,,,
673ce923ffc77731fa3ed001,FPB-01-019_361,2026/02/17 00:52:07,,,,,,,,,,,,,,,,,ok,430.0,,,,,,,,,,
673ce923ffc77731fa3ed001,FPB-01-019_361,2026/02/17 00:52:37,,,,,,,,,ok,1121.7711181640625,,,,,,,,,,,,,,,,,,
673ce923ffc77731fa3ed001,FPB-01-019_361,2026/02/17 00:53:07,,,,,,,,,ok,1115.8612060546875,,,,,,,,,,,,,,,,,,
673ce923ffc77731fa3ed001,FPB-01-019_361,2026/02/17 00:53:37,,,,,,,,,ok,1125.1705322265625,,,,,,,,,,,,,,,,,ok,70.51999931335443
673ce923ffc77731fa3ed001,FPB-01-019_361,2026/02/17 00:55:37,,,,,,,,,,,,,,,,,ok,431.0,,,,,,,,,,
