pointDisplayName,dateTime,unit,point_id,dateTimeUtc,pointName,pointKind,deviceName,value,pointField
Zone CO2,03/31/2026 00:00:04,ppm,673ce924ffc77731fa3ed9c0,03/31/2026 05:00:04,RmCO2,Number,FPB-01-019_361,418,zone_air_co2_concentration_sensor
Discharge Air Flow,03/31/2026 00:00:34,cfm,673ce924ffc77731fa3ed9b4,03/31/2026 05:00:34,AirFl,Number,FPB-01-019_361,1122.116943359375,discharge_air_flowrate_sensor
Zone CO2,03/31/2026 00:00:34,ppm,673ce924ffc77731fa3ed9c0,03/31/2026 05:00:34,RmCO2,Number,FPB-01-019_361,419,zone_air_co2_concentration_sensor
Discharge Air Flow,03/31/2026 00:01:04,cfm,673ce924ffc77731fa3ed9b4,03/31/2026 05:01:04,AirFl,Number,FPB-01-019_361,1134.7615966796875,discharge_air_flowrate_sensor
Discharge Air Flow,03/31/2026 00:01:34,cfm,673ce924ffc77731fa3ed9b4,03/31/2026 05:01:34,AirFl,Number,FPB-01-019_361,1113.901611328125,discharge_air_flowrate_sensor
Zone CO2,03/31/2026 00:01:34,ppm,673ce924ffc77731fa3ed9c0,03/31/2026 05:01:34,RmCO2,Number,FPB-01-019_361,420,zone_air_co2_concentration_sensor
Zone Air Humid,03/31/2026 00:02:04,%RH,673ce924ffc77731fa3ed9c2,03/31/2026 05:02:04,RmRh,Number,FPB-01-019_361,51.099998474121094,zone_air_humidity_sensor
Zone CO2,03/31/2026 00:02:34,ppm,673ce924ffc77731fa3ed9c0,03/31/2026 05:02:34,RmCO2,Number,FPB-01-019_361,419,zone_air_co2_concentration_sensor
Discharge Air Flow,03/31/2026 00:03:04,cfm,673ce924ffc77731fa3ed9b4,03/31/2026 05:03:04,AirFl,Number,FPB-01-019_361,1121.38134765625,discharge_air_flowrate_sensor
Zone CO2,03/31/2026 00:03:04,ppm,673ce924ffc77731fa3ed9c0,03/31/2026 05:03:04,RmCO2,Number,FPB-01-019_361,422,zone_air_co2_concentration_sensor
Discharge Air Flow,03/31/2026 00:04:04,cfm,673ce924ffc77731fa3ed9b4,03/31/2026 05:04:04,AirFl,Number,FPB-01-019_361,1111.0919189453125,discharge_air_flowrate_sensor
Zone CO2,03/31/2026 00:04:04,ppm,673ce924ffc77731fa3ed9c0,03/31/2026 05:04:04,RmCO2,Number,FPB-01-019_361,421,zone_air_co2_concentration_sensor
Zone Air Humid,03/31/2026 00:04:04,%RH,673ce924ffc77731fa3ed9c2,03/31/2026 05:04:04,RmRh,Number,FPB-01-019_361,49.400001525878906,zone_air_humidity_sensor
Discharge Air Flow,03/31/2026 00:05:04,cfm,673ce924ffc77731fa3ed9b4,03/31/2026 05:05:04,AirFl,Number,FPB-01-019_361,1117.5892333984375,discharge_air_flowrate_sensor
Zone CO2,03/31/2026 00:05:04,ppm,673ce924ffc77731fa3ed9c0,03/31/2026 05:05:04,RmCO2,Number,FPB-01-019_361,420,zone_air_co2_concentration_sensor
Zone CO2,03/31/2026 00:05:34,ppm,673ce924ffc77731fa3ed9c0,03/31/2026 05:05:34,RmCO2,Number,FPB-01-019_361,418,zone_air_co2_concentration_sensor
Zone Air Humid,03/31/2026 00:05:34,%RH,673ce924ffc77731fa3ed9c2,03/31/2026 05:05:34,RmRh,Number,FPB-01-019_361,51.099998474121094,zone_air_humidity_sensor
Discharge Air Flow,03/31/2026 00:06:04,cfm,673ce924ffc77731fa3ed9b4,03/31/2026 05:06:04,AirFl,Number,FPB-01-019_361,1128.6666259765625,discharge_air_flowrate_sensor
Zone CO2,03/31/2026 00:06:04,ppm,673ce924ffc77731fa3ed9c0,03/31/2026 05:06:04,RmCO2,Number,FPB-01-019_361,417,zone_air_co2_concentration_sensor
