ts,co2_ppm,flow_cfm,humidity_pct,temp_f,airflow_ach,co2_ppm_lag_adjusted,humidity_pct_lag_adjusted,temp_f_lag_adjusted,people_co2_anchor_lag_adjusted,people_feature_scaled_lag_adjusted,people_est_lag_adjusted,people_est_lag_adjusted_rounded
2026-03-31 05:00:00,418.5,1122.116943359375,51.09999847412109,69.61999931335443,2.9923118489583334,415.0,51.39999961853027,69.08000068664545,0.07943690265429688,0.35323494785801846,0.16157631621541335,0
2026-03-31 05:01:00,420.0,1124.3316040039062,51.09999847412109,69.61999931335443,2.9982176106770835,414.0,52.29999923706055,69.08000068664545,0.0,1.0989429963059976,0.2456296075536063,0
2026-03-31 05:02:00,419.0,1122.8564758300781,51.09999847412109,69.61999931335443,2.994283935546875,415.0,51.60000038146973,69.08000068664545,0.07948925563696291,0.5324280930810504,0.23554337399246728,0
2026-03-31 05:03:00,422.0,1121.38134765625,50.25,69.61999931335443,2.9903502604166667,414.0,50.900001525878906,69.08000068664545,0.0,0.12597585809185574,0.18610571985123964,0
2026-03-31 05:04:00,421.0,1111.0919189453125,49.400001525878906,69.61999931335443,2.9629117838541665,415.5,51.90000057220459,69.08000068664545,0.1310940318766276,0.6882062545272314,0.20853011561535345,0
2026-03-31 05:05:00,419.0,1117.5892333984375,51.09999847412109,69.61999931335443,2.9802379557291667,414.25,52.89999961853027,69.08000068664545,0.0,1.5355327699452022,0.2683468185689829,0
2026-03-31 05:06:00,417.0,1122.9811401367188,52.150001525878906,69.61999931335443,2.994616373697917,413.0,51.999999046325684,69.08000068664545,0.0,0.8274362177174156,0.252056411853668,0
2026-03-31 05:07:00,418.0,1122.1920166015625,51.07500076293945,69.61999931335443,2.9925120442708333,415.0,51.09999847412109,69.08000068664545,0.07944221723925783,0.1832238496414389,0.23109757187161256,0
2026-03-31 05:08:00,419.0,1129.308837890625,50.0,69.61999931335443,3.011490234375,417.0,51.66666539510091,69.08000068664545,0.2931354479238282,0.790394524934515,0.312001654591508,0
2026-03-31 05:09:00,418.0,1141.1201171875,52.5,69.61999931335443,3.042986979166667,415.0,52.23333231608073,69.08000068664545,0.08078217533593753,1.2793046605407412,0.34042389903662207,0
2026-03-31 05:10:00,417.6666666666667,1125.646240234375,50.75,69.52999954223627,3.0017233072916665,414.0,52.79999923706055,69.08000068664545,0.0,1.5409039767035806,0.34074617144212477,0
2026-03-31 05:11:00,417.3333333333333,1112.91748046875,52.42499923706055,69.4399997711181,2.9677799479166667,414.0,51.5,69.08000068664545,0.0,0.2868765857284683,0.3083125935227879,0
2026-03-31 05:12:00,417.0,1119.1319580078125,54.09999847412109,69.34999999999994,2.9843518880208335,416.0,53.29999923706055,69.08000068664545,0.18485970899967452,2.0068960550041792,0.4324913746910107,0
2026-03-31 05:13:00,416.3333333333333,1104.5775146484375,51.29999923706055,69.26000022888178,2.9455400390625,415.0,51.0,69.08000068664545,0.0781952514169922,0.04811194043141943,0.35786279210986793,0
2026-03-31 05:14:00,415.6666666666667,1125.3865966796875,52.5,69.1700004577636,3.0010309244791666,415.1666666666667,52.20000076293945,69.08000068664545,0.09737244971929455,1.0842082385743377,0.34847964520555375,0
2026-03-31 05:15:00,415.0,1131.085693359375,54.09999847412109,69.08000068664545,3.016228515625,415.3333333333333,53.400001525878906,69.08000068664545,0.11565929325064905,2.184276734799946,0.4032743117464265,0
2026-03-31 05:16:00,415.5,1141.4737548828125,52.900001525878906,69.08000068664545,3.0439300130208333,415.5,54.27500057220459,69.08000068664545,0.13467868342610678,3.0595428439171033,0.5884893029173994,1
2026-03-31 05:17:00,417.0,1133.6346435546875,50.900001525878906,69.08000068664545,3.0230257161458334,416.0,55.14999961853027,69.08000068664545,0.18725528193522137,3.7507760242973323,0.6934574812859653,1
2026-03-31 05:18:00,418.0,1119.5380859375,54.59999847412109,69.08000068664545,2.9854348958333334,414.5,54.67500019073486,69.08000068664545,0.02641811339322917,3.0898996271494634,0.8687159431657211,1
2026-03-31 05:19:00,416.0,1127.241943359375,53.86666615804036,69.08000068664545,3.005978515625,415.0,54.20000076293945,69.08000068664545,0.07979971165429689,2.8030073624447858,0.9693837072688483,1
2026-03-31 05:20:00,416.3333333333333,1132.2890625,53.13333384195963,69.08000068664545,3.0194375,414.75,55.400001525878906,69.08000068664545,0.053438004875,3.868999367124205,1.061756084835713,1
2026-03-31 05:21:00,416.6666666666667,1122.8052978515625,52.400001525878906,69.08000068664545,2.9941474609375,414.5,53.75,69.08000068664545,0.026495210881835943,2.336501315857793,1.0032279069959564,1
2026-03-31 05:22:00,417.0,1128.0396118164062,54.09999847412109,69.08000068664545,3.008105631510417,415.0,52.92499923706055,69.08000068664545,0.07985618019970706,1.7227749938288863,0.8665119709248776,1
2026-03-31 05:23:00,416.0,1133.27392578125,53.19999885559082,69.08000068664545,3.0220638020833333,416.0,52.09999847412109,69.08000068664545,0.18719569809244793,1.1411232987542528,0.7720942530790557,1
2026-03-31 05:24:00,417.0,1120.2777709960938,52.29999923706055,69.08000068664545,2.9874073893229167,415.0,53.900001525878906,69.08000068664545,0.07930670396435549,2.4682362049563737,0.7519389625531592,1
2026-03-31 05:25:00,417.5,1119.2233581542969,54.400001525878906,69.08000068664545,2.9845956217447918,414.5,53.150001525878906,69.08000068664545,0.026410686656819664,1.7835605874884894,0.623028811224471,1
2026-03-31 05:26:00,415.5,1118.1689453125,55.0,69.08000068664545,2.981783854166667,414.0,52.400001525878906,69.08000068664545,0.0,1.114922283497745,0.546024739759411,1
2026-03-31 05:27:00,414.0,1121.2825317382812,55.59999847412109,69.08000068664545,2.9900867513020835,415.5,51.20000076293945,69.08000068664545,0.1322963883113607,0.2050487929854371,0.46230279684443554,0
2026-03-31 05:28:00,414.8333333333333,1124.3961181640625,54.09999847412109,69.08000068664545,2.9983896484375,416.25,51.666666666666664,69.08000068664545,0.21226199999218753,0.6869184581335563,0.4385597886731574,0
2026-03-31 05:29:00,415.6666666666667,1137.7899169921875,53.0,69.08000068664545,3.0341064453125,417.0,52.133332570393875,69.08000068664545,0.2953368872802735,1.284643734325452,0.3977884660995306,0
2026-03-31 05:30:00,416.5,1120.72802734375,51.900001525878906,69.08000068664545,2.9886080729166666,418.0,52.59999847412109,69.08000068664545,0.39669289255859375,1.555177773832761,0.4359250061064352,0
2026-03-31 05:31:00,416.6666666666667,1121.5875244140625,52.89999961853027,69.08000068664545,2.990900065104167,418.0,52.0,69.08000068664545,0.3969971201416016,1.0522910084051957,0.48774672642070643,0
2026-03-31 05:32:00,416.8333333333333,1120.2017211914062,53.06666692097982,69.08000068664545,2.98720458984375,418.0,51.400001525878906,69.08000068664545,0.39650660123291015,0.5241002290878573,0.5438792423958686,1
2026-03-31 05:33:00,417.0,1120.2498779296875,53.23333422342936,69.08000068664545,2.9873330078125,418.0,55.0,69.08000068664545,0.39652364679199226,3.6000880512702573,0.7444660485360434,1
2026-03-31 05:34:00,415.5,1120.2980346679688,53.400001525878906,69.08000068664545,2.98746142578125,417.6666666666667,52.79999923706055,69.08000068664545,0.36129263080875856,1.69980755708934,0.7786096819958646,1
2026-03-31 05:35:00,415.75,1120.34619140625,55.5,69.08000068664545,2.98758984375,417.3333333333333,54.09999847412109,69.08000068664545,0.3260585845039043,2.789544406399302,0.8427828768222005,1
