ts,co2_ppm,flow_cfm,humidity_pct,temp_f,airflow_ach,people_co2_anchor,people_feature_scaled,people_est_all_features,people_est_all_features_rounded
2026-03-31 05:00:00,418.5,1122.116943359375,51.09999847412109,69.61999931335443,2.9923118489583334,0.45014244837434897,1.0400104018374219,0.6271028344132707,1
2026-03-31 05:01:00,420.0,1124.3316040039062,51.09999847412109,69.61999931335443,2.9982176106770835,0.6102182356482749,1.1733843175645646,0.7031354473182163,1
2026-03-31 05:02:00,419.0,1122.8564758300781,51.09999847412109,69.61999931335443,2.994283935546875,0.5034319523674317,1.0844846503642653,0.6946728854676382,1
2026-03-31 05:03:00,422.0,1121.38134765625,50.25,69.61999931335443,2.9903502604166667,0.8203098930872398,1.27799640783473,0.7604086259786003,1
2026-03-31 05:04:00,421.0,1111.0919189453125,49.400001525878906,69.61999931335443,2.9629117838541665,0.7079077721337892,1.0797682130031108,0.7722200816617973,1
2026-03-31 05:05:00,419.0,1117.5892333984375,51.09999847412109,69.61999931335443,2.9802379557291667,0.5010703877347006,1.019152199161355,0.7780985010116825,1
2026-03-31 05:06:00,417.0,1122.9811401367188,52.150001525878906,69.61999931335443,2.994616373697917,0.29149296319938156,1.9179707459411677,0.7781521485714337,1
2026-03-31 05:07:00,418.0,1122.1920166015625,51.07500076293945,69.61999931335443,2.9925120442708333,0.3972110861962891,1.0056401477019024,0.758550557147732,1
2026-03-31 05:08:00,419.0,1129.308837890625,50.0,69.61999931335443,3.011490234375,0.5063248645957031,1.1645167800668823,0.7077838754928459,1
2026-03-31 05:09:00,418.0,1141.1201171875,52.5,69.61999931335443,3.042986979166667,0.4039108766796876,2.537940612209195,0.7527146540816367,1
2026-03-31 05:10:00,417.6666666666667,1125.646240234375,50.75,69.52999954223627,3.0017233072916665,0.36301741046506275,0.9262546501186065,0.7278133843213226,1
2026-03-31 05:11:00,417.3333333333333,1112.91748046875,52.42499923706055,69.4399997711181,2.9677799479166667,0.3238965786957445,1.8741569889708565,0.7297210650725947,1
2026-03-31 05:12:00,417.0,1119.1319580078125,54.09999847412109,69.34999999999994,2.9843518880208335,0.29049382842805993,3.3814020120023813,0.8573263608430715,1
2026-03-31 05:13:00,416.3333333333333,1104.5775146484375,51.29999923706055,69.26000022888178,2.9455400390625,0.21720903171386524,0.5298421303133881,0.7787696652544044,1
2026-03-31 05:14:00,415.6666666666667,1125.3865966796875,52.5,69.1700004577636,3.0010309244791666,0.15048469502072687,1.684570203750651,0.6920877753146373,1
2026-03-31 05:15:00,415.0,1131.085693359375,54.09999847412109,69.08000068664545,3.016228515625,0.08007181840429689,3.0923774943733635,0.7824427630814155,1
2026-03-31 05:16:00,415.5,1141.4737548828125,52.900001525878906,69.08000068664545,3.0439300130208333,0.13467868342610678,2.14436739883517,0.7721648823355249,1
2026-03-31 05:17:00,417.0,1133.6346435546875,50.900001525878906,69.08000068664545,3.0230257161458334,0.2942583001839193,0.4847914952373012,0.5988952773754405,1
2026-03-31 05:18:00,418.0,1119.5380859375,54.59999847412109,69.08000068664545,2.9854348958333334,0.39627170089843755,3.6243561405966735,0.8096348916782776,1
2026-03-31 05:19:00,416.0,1127.241943359375,53.86666615804036,69.08000068664545,3.005978515625,0.1861993271933594,2.8990512536580755,0.8875038031768918,1
2026-03-31 05:20:00,416.3333333333333,1132.2890625,53.13333384195963,69.08000068664545,3.0194375,0.22265835364583134,2.3055334054012286,0.8602552727723785,1
2026-03-31 05:21:00,416.6666666666667,1122.8052978515625,52.400001525878906,69.08000068664545,2.9941474609375,0.2561203718577494,1.5317811615560302,0.8405019349160601,1
2026-03-31 05:22:00,417.0,1128.0396118164062,54.09999847412109,69.08000068664545,3.008105631510417,0.2928059940655925,3.1958010130184307,1.0029591831263622,1
2026-03-31 05:23:00,416.0,1133.27392578125,53.19999885559082,69.08000068664545,3.0220638020833333,0.18719569809244793,2.356000217042181,0.8975871873202541,1
2026-03-31 05:24:00,417.0,1120.2777709960938,52.29999923706055,69.08000068664545,2.9874073893229167,0.29079124786930344,1.4312827884602604,0.8241639483030173,1
2026-03-31 05:25:00,417.5,1119.2233581542969,54.400001525878906,69.08000068664545,2.9845956217447918,0.34333892653865566,3.3997932878541626,0.9067148214551887,1
2026-03-31 05:26:00,415.5,1118.1689453125,55.0,69.08000068664545,2.981783854166667,0.1319290266276042,3.801589253008067,1.0255165186100905,1
2026-03-31 05:27:00,414.0,1121.2825317382812,55.59999847412109,69.08000068664545,2.9900867513020835,0.0,4.3080353051415825,1.0512577369682965,1
2026-03-31 05:28:00,414.8333333333333,1124.3961181640625,54.09999847412109,69.08000068664545,2.9983896484375,0.061909749997719345,2.997635939415018,1.0722158475774048,1
2026-03-31 05:29:00,415.6666666666667,1137.7899169921875,53.0,69.08000068664545,3.0341064453125,0.15214324496256718,2.203120754625454,1.0991154051403735,1
2026-03-31 05:30:00,416.5,1120.72802734375,51.900001525878906,69.08000068664545,2.9886080729166666,0.23801573553515626,1.0308472252999312,0.9422333946466296,1
2026-03-31 05:31:00,416.6666666666667,1121.5875244140625,52.89999961853027,69.08000068664545,2.990900065104167,0.2558425885357008,1.9800759786222932,0.8502904968506166,1
