ts,flow_cfm,Q_Lps,co2_iaq_ppm,co2_fpb_ppm,co2_ppm,people_est,people_est_rounded,people_est_smooth_5min,people_est_smooth_5min_rounded
2026-03-31 05:01:04,1128.0889892578125,532.3987218533019,443.0,412.0,443.0,0.7120267706837681,1,0.7120267706837681,1
2026-03-31 05:01:34,1120.63671875,528.8816417904296,442.0,412.0,442.0,0.5894358745626552,1,0.6507313226232116,1
2026-03-31 05:02:34,1126.747314453125,531.7655218505005,440.0,409.0,440.0,0.35558996645047286,0,0.5894358745626552,1
2026-03-31 05:03:04,1140.2501220703125,538.1381374732726,440.0,412.0,440.0,0.3598513148876895,0,0.47464359472517237,0
2026-03-31 05:04:04,1128.2877197265625,532.4925121912659,441.0,411.0,441.0,0.4747681368693009,0,0.4747681368693009,0
2026-03-31 05:08:04,1135.052734375,535.6852436038085,441.0,413.0,441.0,0.4776147630838542,0,0.4761914499765776,0
2026-03-31 05:08:34,1142.7376708984375,539.3121297994568,441.0,413.0,441.0,0.4808484799199069,0,0.4776147630838542,0
2026-03-31 05:09:34,1124.4105224609375,530.6626788286071,440.0,412.0,440.0,0.3548524987188484,0,0.4776147630838542,0
2026-03-31 05:10:34,1111.637451171875,524.6344604050659,440.0,411.0,440.0,0.35082144762790196,0,0.4162336309013513,0
2026-03-31 05:11:04,1098.9603271484375,518.6515240488708,441.0,412.0,441.0,0.4624275686878752,0,0.4624275686878752,0
2026-03-31 05:13:34,1083.5185546875,511.36381891245117,441.0,411.0,441.0,0.4559298807195832,0,0.4053911897192158,0
2026-03-31 05:17:34,1078.423583984375,508.9592604812866,436.0,411.0,436.0,0.0,0,0.2279649403597916,0
2026-03-31 05:19:34,1071.812744140625,505.8392914746704,439.0,411.0,439.0,0.2255021173729245,0,0.11275105868646225,0
2026-03-31 05:20:34,1079.109375,509.2829178023437,439.0,411.0,439.0,0.22703727891814102,0,0.2255021173729245,0
2026-03-31 05:22:04,1072.972900390625,506.38682425845946,438.0,412.0,438.0,0.11287310318177574,0,0.16918761027735013,0
2026-03-31 05:22:34,1081.863037109375,510.5825016130249,441.0,411.0,441.0,0.4552332614243636,0,0.22626969814553277,0
2026-03-31 05:23:04,1074.743408203125,507.2224109057739,441.0,411.0,441.0,0.45223741835000997,0,0.22703727891814102,0
2026-03-31 05:23:34,1082.92138671875,511.0819870123779,441.0,412.0,441.0,0.4556786005549899,0,0.33963734863407546,0
2026-03-31 05:24:04,1075.2686767578125,507.4703100607239,442.0,412.0,442.0,0.5655730552730207,1,0.45223741835000997,0
2026-03-31 05:24:34,1087.3607177734375,513.1771179833435,442.0,412.0,442.0,0.5719332634047358,1,0.4552332614243636,0
