ts,flow_cfm,Q_Lps,co2_ppm,people_est,people_est_rounded,people_est_smooth_5min,people_est_smooth_5min_rounded
2026-03-31 05:00:34,1122.116943359375,529.5802300202514,419.0,0.5902144475583262,1,0.5902144475583262,1
2026-03-31 05:01:04,1134.7615966796875,535.547841910907,419.0,0.5968653203734824,1,0.5935398839659043,1
2026-03-31 05:01:34,1113.901611328125,525.7030250171997,420.0,0.7030719869850178,1,0.5968653203734824,1
2026-03-31 05:03:04,1121.38134765625,529.2330675039307,422.0,0.9437240587458816,1,0.6499686536792502,1
2026-03-31 05:04:04,1111.0919189453125,524.3769978618469,421.0,0.8181816608427465,1,0.7030719869850178,1
2026-03-31 05:05:04,1117.5892333984375,527.4433888498475,420.0,0.7053995388530264,1,0.7042357629190221,1
2026-03-31 05:06:04,1128.6666259765625,532.6713360297424,417.0,0.3561956816019293,0,0.7053995388530264,1
2026-03-31 05:06:34,1117.295654296875,527.3048349414917,417.0,0.3526071188547868,0,0.7053995388530264,1
2026-03-31 05:07:04,1126.01904296875,531.421815980542,418.0,0.4738135085252768,0,0.5896065236891517,1
2026-03-31 05:07:34,1118.364990234375,527.8095053103882,418.0,0.4705927871678918,0,0.4738135085252768,0
2026-03-31 05:08:04,1138.9332275390625,537.5166324573303,419.0,0.5990595273299445,1,0.4738135085252768,0
2026-03-31 05:08:34,1119.6844482421875,528.4322201525573,419.0,0.5889349964545215,1,0.5313742524898992,1
2026-03-31 05:09:34,1141.1201171875,538.5487294503417,418.0,0.48016783530399815,0,0.4769906719146375,0
2026-03-31 05:10:04,1131.4742431640625,533.9963838019593,418.0,0.47610898262084284,0,0.47496124557305985,0
2026-03-31 05:10:34,1119.8182373046875,528.4953615594421,418.0,0.47120429378266754,0,0.4738135085252768,0
2026-03-31 05:11:04,1112.91748046875,525.2385669676513,417.0,0.35122541182545797,0,0.4738135085252768,0
2026-03-31 05:12:34,1119.1319580078125,528.1714737952942,417.0,0.35318663758679475,0,0.47610898262084284,0
2026-03-31 05:13:34,1104.5775146484375,521.3025413656677,417.0,0.348593403629652,0,0.41219546568473114,0
2026-03-31 05:14:34,1125.3865966796875,531.1233345671569,415.0,0.11838684593074897,0,0.3522060247061264,0
2026-03-31 05:15:34,1131.085693359375,533.813008712439,415.0,0.11898637153604164,0,0.348593403629652,0
2026-03-31 05:16:04,1141.4737548828125,538.7156278588684,416.0,0.24015832061978595,0,0.24015832061978595,0
2026-03-31 05:17:34,1133.6346435546875,535.0159792572937,417.0,0.3577635373059283,0,0.24015832061978595,0
2026-03-31 05:18:04,1119.5380859375,528.363144836084,418.0,0.47108640989514877,0,0.294375862124719,0
2026-03-31 05:19:34,1127.241943359375,531.9989607015015,416.0,0.23716404419404635,0,0.24015832061978595,0
2026-03-31 05:20:34,1132.2890625,534.3809357097656,416.0,0.23822592376122473,0,0.24015832061978595,0
2026-03-31 05:21:34,1122.8052978515625,529.9050971675354,417.0,0.3543459061956879,0,0.3543459061956879,0
2026-03-31 05:23:34,1133.27392578125,534.8457394239501,416.0,0.23843313230251034,0,0.23832952803186752,0
2026-03-31 05:24:04,1114.9613037109375,526.2031441350525,417.0,0.3518704216060874,0,0.23843313230251034,0
2026-03-31 05:24:34,1125.59423828125,531.2213304915283,417.0,0.3552260673650148,0,0.3518704216060874,0
2026-03-31 05:26:04,1118.1689453125,527.7169824094238,416.0,0.2352551470646964,0,0.3518704216060874,0
