time,co2_sensor1,voc,temp_sensor1,co2_sensor2,humidity,temp_sensor2,co2_avg,temp_avg,occupancy_score,likely_occupied
2026-02-09 00:00:00,419.75,40.77777777777778,,418.3333333333333,,,419.04166666666663,,0.0,False
2026-02-09 00:05:00,419.14285714285717,40.75,,420.5,,,419.82142857142856,,0.0,False
2026-02-09 00:10:00,418.6,39.2,,419.42857142857144,,,419.01428571428573,,0.0,False
2026-02-09 00:15:00,420.5,39.7,,420.0,,,420.25,,0.0,False
2026-02-09 00:20:00,422.25,39.125,,419.3333333333333,,,420.79166666666663,,0.0,False
2026-02-09 00:25:00,419.125,40.5,,418.3333333333333,,,418.72916666666663,,0.0,False
2026-02-09 00:30:00,418.6666666666667,40.4,,417.5,,,418.08333333333337,,0.0,False
2026-02-09 00:35:00,418.0,41.125,,418.0,,,418.0,,0.0,False
2026-02-09 00:40:00,418.2,39.375,,417.25,,,417.725,,0.0,False
2026-02-09 00:45:00,418.25,42.875,,416.0,,,417.125,,0.0,False
2026-02-09 00:50:00,415.25,42.5,67.83799743652344,416.5,15.600000381469728,69.08000068664545,415.875,68.45899906158445,0.0,False
2026-02-09 00:55:00,413.0,43.44444444444444,,415.5,,,414.25,,0.0,False
2026-02-09 01:00:00,413.375,41.875,,415.6666666666667,,,414.52083333333337,,0.0,False
2026-02-09 01:05:00,413.85714285714283,43.57142857142857,,415.6666666666667,,,414.76190476190476,,0.0,False
2026-02-09 01:10:00,414.3333333333333,44.166666666666664,,416.1666666666667,,,415.25,,0.0,False
2026-02-09 01:15:00,413.8333333333333,44.22222222222222,,414.8333333333333,,,414.3333333333333,,0.0,False
2026-02-09 01:20:00,411.25,45.25,,414.2,,,412.725,,0.0,False
2026-02-09 01:25:00,413.6666666666667,45.875,,414.8333333333333,,,414.25,,0.0,False
2026-02-09 01:30:00,413.3333333333333,47.0,,414.5,,,413.91666666666663,,0.0,False
2026-02-09 01:35:00,412.1666666666667,47.5,,415.5,,,413.83333333333337,,0.0,False
2026-02-09 01:40:00,414.75,46.0,,415.2,,,414.975,,0.0,False
2026-02-09 01:45:00,413.7142857142857,43.666666666666664,,415.5,,,414.6071428571429,,0.0,False
2026-02-09 01:50:00,413.3333333333333,46.22222222222222,67.65799713134766,414.0,15.899999618530272,69.08000068664545,413.66666666666663,68.36899890899656,0.0,False
2026-02-09 01:55:00,415.5,46.714285714285715,,413.8333333333333,,,414.66666666666663,,0.0,False
2026-02-09 02:00:00,414.14285714285717,46.666666666666664,,412.6666666666667,,,413.4047619047619,,0.0,False
2026-02-09 02:05:00,413.8,45.77777777777778,,413.5,,,413.65,,0.0,False
2026-02-09 02:10:00,412.8,45.666666666666664,,412.0,,,412.4,,0.0,False
2026-02-09 02:15:00,412.2,45.4,,410.14285714285717,,,411.1714285714286,,0.0,False
2026-02-09 02:20:00,410.8,44.875,,411.0,,,410.9,,0.0,False
2026-02-09 02:25:00,411.5,45.666666666666664,,411.6666666666667,,,411.58333333333337,,0.0,False
2026-02-09 02:30:00,409.2,45.0,,410.1666666666667,,,409.68333333333334,,0.0,False
2026-02-09 02:35:00,408.6,44.2,,410.25,,,409.425,,0.0,False
2026-02-09 02:40:00,408.6,45.625,,411.5,,,410.05,,0.0,False
2026-02-09 02:45:00,408.6,44.0,,409.42857142857144,,,409.01428571428573,,0.0,False
2026-02-09 02:50:00,407.2857142857143,46.333333333333336,67.85600280761719,410.8333333333333,16.399999618530273,69.26000137329095,409.0595238095238,68.55800209045407,0.0,False
2026-02-09 02:55:00,410.0,45.0,,411.0,,,410.5,,0.0,False
2026-02-09 03:00:00,409.25,44.42857142857143,,409.2,,,409.225,,0.0,False
2026-02-09 03:05:00,410.4,44.875,,409.6,,,410.0,,0.0,False
2026-02-09 03:10:00,408.8333333333333,44.625,,410.2,,,409.51666666666665,,0.0,False
2026-02-09 03:15:00,409.5,44.77777777777778,,411.0,,,410.25,,0.0,False
2026-02-09 03:20:00,413.75,46.857142857142854,,410.4,,,412.075,,0.0,False
2026-02-09 03:25:00,411.5,48.666666666666664,,411.4,,,411.45,,0.0,False
2026-02-09 03:30:00,412.5,48.285714285714285,,410.0,,,411.25,,0.0,False
2026-02-09 03:35:00,412.42857142857144,46.875,,409.6666666666667,,,411.04761904761904,,0.0,False
2026-02-09 03:40:00,412.5,49.57142857142857,,409.5,,,411.0,,0.0,False
2026-02-09 03:45:00,409.8,48.25,,409.8333333333333,,,409.81666666666666,,0.0,False
2026-02-09 03:50:00,411.5,49.333333333333336,67.83799743652344,409.22222222222223,17.299999237060547,69.08000068664545,410.3611111111111,68.45899906158445,0.0,False
2026-02-09 03:55:00,412.6666666666667,51.42857142857143,,410.0,,,411.33333333333337,,0.0,False
2026-02-09 04:00:00,413.5,51.57142857142857,,409.3333333333333,,,411.41666666666663,,0.0,False
2026-02-09 04:05:00,411.5,50.5,,410.5,,,411.0,,0.0,False
2026-02-09 04:10:00,413.2,49.875,,411.0,,,412.1,,0.0,False
2026-02-09 04:15:00,410.8,50.625,,410.0,,,410.4,,0.0,False
2026-02-09 04:20:00,408.5,50.2,,409.3333333333333,,,408.91666666666663,,0.0,False
2026-02-09 04:25:00,409.7142857142857,50.44444444444444,,409.8,,,409.75714285714287,,0.0,False
2026-02-09 04:30:00,413.5,51.75,,409.8,,,411.65,,0.0,False
2026-02-09 04:35:00,409.14285714285717,50.4,,411.0,,,410.07142857142856,,0.0,False
2026-02-09 04:40:00,410.1666666666667,49.111111111111114,,411.5,,,410.83333333333337,,0.0,False
2026-02-09 04:45:00,413.0,50.857142857142854,,411.6,,,412.3,,0.0,False
2026-02-09 04:50:00,413.8,51.0,67.7300033569336,411.8,18.0,69.08000068664545,412.8,68.40500202178953,0.0,False
2026-02-09 04:55:00,416.2857142857143,49.7,,411.8888888888889,,,414.08730158730157,,0.0,False
2026-02-09 05:00:00,419.0,53.833333333333336,68.23400115966797,413.0,,,416.0,68.23400115966797,0.0,False
2026-02-09 05:05:00,414.85714285714283,54.125,,412.14285714285717,,,413.5,,0.0,False
2026-02-09 05:10:00,414.2,56.0,68.75599670410156,412.5,,,413.35,68.75599670410156,0.0,False
2026-02-09 05:15:00,418.0,56.25,,412.8333333333333,,,415.41666666666663,,0.0,False
2026-02-09 05:20:00,419.5,55.285714285714285,69.26000213623047,414.14285714285717,,,416.82142857142856,69.26000213623047,0.0,False
2026-02-09 05:25:00,416.0,53.0,,414.6,,,415.3,,0.0,False
2026-02-09 05:30:00,414.2,54.44444444444444,,412.85714285714283,,,413.5285714285714,,0.0,False
2026-02-09 05:35:00,416.4,53.285714285714285,,413.8,,,415.1,,0.0,False
2026-02-09 05:40:00,416.8333333333333,56.0,,413.5,,,415.16666666666663,,0.0,False
2026-02-09 05:45:00,418.5,53.333333333333336,,413.6,,,416.05,,0.0,False
2026-02-09 05:50:00,417.5,53.22222222222222,69.62000274658203,413.0,18.100000381469727,69.26000137329095,415.25,69.44000205993649,0.0,False
2026-02-09 05:55:00,417.6,52.857142857142854,,414.25,,,415.925,,0.0,False
2026-02-09 06:00:00,419.0,54.25,,413.1666666666667,,,416.08333333333337,,0.0,False
2026-02-09 06:05:00,417.0,54.166666666666664,,415.0,,,416.0,,0.0,False
2026-02-09 06:10:00,417.0,51.714285714285715,,415.42857142857144,,,416.2142857142857,,0.0,False
2026-02-09 06:15:00,420.42857142857144,50.285714285714285,,415.5,,,417.9642857142857,,0.0,False
2026-02-09 06:20:00,421.0,48.0,,415.5,,,418.25,,0.0,False
2026-02-09 06:25:00,420.85714285714283,47.166666666666664,,416.0,,,418.42857142857144,,0.0,False
2026-02-09 06:30:00,418.0,47.42857142857143,,415.6666666666667,,,416.83333333333337,,0.0,False
2026-02-09 06:35:00,417.3333333333333,46.111111111111114,,414.5,,,415.91666666666663,,0.0,False
2026-02-09 06:40:00,417.14285714285717,47.7,,416.2,,,416.6714285714286,,0.0,False
2026-02-09 06:45:00,417.42857142857144,49.5,,414.8333333333333,,,416.1309523809524,,0.0,False
2026-02-09 06:50:00,416.5,51.666666666666664,69.81800079345703,414.2,18.0,69.26000137329095,415.35,69.53900108337399,0.0,False
2026-02-09 06:55:00,416.0,50.142857142857146,,413.5,,,414.75,,0.0,False
2026-02-09 07:00:00,415.55555555555554,51.142857142857146,,414.5,,,415.02777777777777,,0.0,False
2026-02-09 07:05:00,417.8,50.666666666666664,,414.0,,,415.9,,0.0,False
2026-02-09 07:10:00,416.8,53.5,,414.5,,,415.65,,0.0,False
2026-02-09 07:15:00,417.5,54.42857142857143,,414.0,,,415.75,,0.0,False
2026-02-09 07:20:00,417.6666666666667,58.55555555555556,,414.25,,,415.95833333333337,,0.0,False
2026-02-09 07:25:00,416.0,63.5,,413.4,,,414.7,,0.0,False
2026-02-09 07:30:00,417.5,61.77777777777778,,414.6,,,416.05,,0.0,False
2026-02-09 07:35:00,425.0,67.375,70.64599990844727,414.8333333333333,,,419.91666666666663,70.64599990844727,0.0,False
2026-02-09 07:40:00,439.0,70.0,,417.6666666666667,,,428.33333333333337,,0.0,False
2026-02-09 07:45:00,445.3333333333333,74.11111111111111,71.65399932861328,425.5,,,435.41666666666663,71.65399932861328,0.0211375468480431,False
2026-02-09 07:50:00,454.0,79.5,72.38299942016602,461.3333333333333,19.25,69.43999862670891,457.66666666666663,70.91149902343747,0.08642278439357261,False
2026-02-09 07:55:00,527.25,108.75,72.19400024414062,537.2,,,532.225,72.19400024414062,0.4419864903120598,False
2026-02-09 08:00:00,636.6,132.6,72.73400115966797,631.1,20.5,,633.85,72.73400115966797,1.0019926687372511,True
2026-02-09 08:05:00,726.6666666666666,172.125,73.34600067138672,658.4444444444445,,,692.5555555555555,73.34600067138672,1.8634442890278338,True
2026-02-09 08:10:00,758.5,167.28571428571428,,687.7142857142857,21.600000381469727,,723.1071428571429,,2.406983823066383,True
2026-02-09 08:15:00,740.25,173.88888888888889,73.86799621582031,697.2857142857143,,69.98000068664544,718.7678571428571,71.92399845123288,2.800681163810856,True
2026-02-09 08:20:00,725.625,174.0,,708.6666666666666,,,717.1458333333333,,2.9488605677902258,True
2026-02-09 08:25:00,717.0,179.11111111111111,73.57099914550781,708.1111111111111,,,712.5555555555555,73.57099914550781,3.0475041897379147,True
2026-02-09 08:30:00,712.8571428571429,181.1,,700.625,,,706.7410714285714,,3.130817821107904,True
2026-02-09 08:35:00,714.4285714285714,183.88888888888889,,706.2222222222222,,70.51999931335443,710.3253968253969,70.51999931335443,3.0044288705732494,True
2026-02-09 08:40:00,713.875,199.22222222222223,74.51599884033203,716.4,22.700000762939453,,715.1375,74.51599884033203,2.907157056909934,True
2026-02-09 08:45:00,721.4,217.6,,708.3,,,714.8499999999999,,3.009098482915764,True
2026-02-09 08:50:00,731.125,202.875,73.86800003051758,694.0,21.5,70.69999999999993,712.5625,72.28400001525875,2.9264968300297824,True
2026-02-09 08:55:00,715.8,181.7,74.28199768066406,670.8,,,693.3,74.28199768066406,2.9896221797419926,True
2026-02-09 09:00:00,721.4,189.5,74.11100006103516,681.0,,,701.2,74.11100006103516,2.825861401358319,True
2026-02-09 09:05:00,725.5,189.77777777777777,,691.5555555555555,,,708.5277777777778,,3.0418956351182147,True
2026-02-09 09:10:00,727.6,193.5,74.6719970703125,683.0,,,705.3,74.6719970703125,3.103326218296944,True
2026-02-09 09:15:00,724.6666666666666,201.11111111111111,74.22799682617188,675.1111111111111,,,699.8888888888889,74.22799682617188,3.123580451762351,True
2026-02-09 09:20:00,725.0,216.42857142857142,75.0199966430664,664.1428571428571,,,694.5714285714286,75.0199966430664,3.0868390037346867,True
2026-02-09 09:25:00,728.8333333333334,308.25,74.44400024414062,655.4,,71.23999862670892,692.1166666666667,72.84199943542478,3.2321816364306533,True
2026-02-09 09:30:00,723.0,232.75,75.09200286865234,655.8571428571429,,,689.4285714285714,75.09200286865234,3.2787111653093532,True
2026-02-09 09:35:00,731.4285714285714,277.3,,659.125,,,695.2767857142858,,3.4600496133907774,True
2026-02-09 09:40:00,736.0,245.5,75.0109977722168,663.375,,71.78000068664544,699.6875,73.39549922943112,3.3734253516705324,True
2026-02-09 09:45:00,733.6,237.9,75.30800247192383,684.4,22.600000381469727,,709.0,75.30800247192383,3.270283728597407,True
2026-02-09 09:50:00,738.1666666666666,258.0,75.29899978637695,690.8,22.899999618530277,71.96000137329095,714.4833333333333,73.62950057983394,3.0222359854019563,True
2026-02-09 09:55:00,775.1111111111111,276.4,,758.1,24.100000381469727,,766.6055555555556,,3.140552760012883,True
2026-02-09 10:00:00,850.8,291.0,76.26200103759766,836.9,,72.49999999999993,843.8499999999999,74.3810005187988,3.755559718369252,True
2026-02-09 10:05:00,903.625,314.75,76.83799743652344,866.625,,,885.125,76.83799743652344,4.55217101176573,True
2026-02-09 10:10:00,922.8333333333334,316.6,,870.8,25.200000762939453,,896.8166666666666,,4.954373928528142,True
2026-02-09 10:15:00,910.8571428571429,308.7142857142857,,857.7142857142857,,73.03999862670892,884.2857142857142,73.03999862670892,5.072033241897116,True
2026-02-09 10:20:00,898.1,311.2,,849.25,,,873.675,,5.139946939975044,True
2026-02-09 10:25:00,896.7142857142857,314.375,,842.6666666666666,,73.58000068664545,869.6904761904761,73.58000068664545,5.209359268039447,True
2026-02-09 10:30:00,893.7142857142857,315.6666666666667,,833.5,,,863.6071428571429,,5.338448829089405,True
2026-02-09 10:35:00,885.1428571428571,319.9,77.37799835205078,820.5714285714286,,74.11999931335443,852.8571428571429,75.7489988327026,5.17342493526253,True
2026-02-09 10:40:00,878.2,321.2857142857143,,761.1428571428571,23.700000762939453,,819.6714285714286,,4.915945819375171,True
2026-02-09 10:45:00,868.8571428571429,325.6666666666667,77.88200378417969,685.3333333333334,23.049999713897705,74.66000137329095,777.0952380952381,76.27100257873532,4.364199298500298,True
2026-02-09 10:50:00,874.0,328.5,77.33300018310547,748.5,23.5,74.48000068664544,811.25,75.90650043487545,4.0332710242955825,True
2026-02-09 10:55:00,839.875,318.625,78.08000183105469,769.625,,,804.75,78.08000183105469,4.205393480620268,True
2026-02-09 11:00:00,802.1,291.77777777777777,,728.3,22.866666793823242,,765.2,,4.160992431983662,True
2026-02-09 11:05:00,784.375,279.9,77.3239974975586,633.0,20.850000381469727,75.01999931335443,708.6875,76.17199840545652,3.853111322039007,True
2026-02-09 11:10:00,768.2222222222222,277.22222222222223,,617.0,21.799999237060547,,692.6111111111111,,3.279996554418963,True
2026-02-09 11:15:00,755.4285714285714,268.1,,600.9,20.0,,678.1642857142857,,3.0167818091788754,True
2026-02-09 11:20:00,743.5,265.5,,591.0,,75.56000137329094,667.25,75.56000137329094,3.050537482350524,True
2026-02-09 11:25:00,729.8,261.3333333333333,,590.0,,,659.9,,3.1200889134138343,True
2026-02-09 11:30:00,721.875,259.75,,592.5714285714286,,,657.2232142857142,,3.2309569427630276,True
2026-02-09 11:35:00,717.4,259.5,,587.3333333333334,,,652.3666666666667,,3.2158797810703432,True
